Alle Ereignislogmeldungen.
Datum:	2015-05-19 11:07:03
Systemname:	140-102896-2
Name der Steuerung:	192.168.1.2
Steuerungs-ID	140-102896

RobotWare:	5.61.2008
Key:	Pq4444ku65W-4444456a4iW4x#NdR58YwKVvA
Optionen:	
	RW Control module key
	RobotWare OS and English
	644-2 German
	709-x DeviceNet
		709-1 DeviceNet m/s
		840-2 PROFIBUS Fieldbus Adapter
		608-1 World Zones
		611-1 Path Recovery
		616-1 PC Interface
		617-1 FlexPendant Interface
		623-1 Multitasking

DriveModule1
Key:	jw2gFKxwee5
Optionen:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 140
			140T-6/0.8
			Drive System 09 120/140/1400/260
				No additional drive



Allgemeine Logmeldungen
SeqNr     	Typ 	Kategorie           	Fehlernummer	Bezeichnung                             	Datum               	Beschreibung	Argumente
6819      	I   	Betriebszustand     	10024   	Kollision erkannt                       	2015-05-11 18:25:33 	Ein mechanischer Teil des Manipulators ist mit einem Teil der fest installierten Ausrüstung in der Zelle kollidiert.	{args: }
6820      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-11 18:25:34 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
6821      	I   	Betriebszustand     	10026   	Zurück auf Bahn                         	2015-05-11 18:25:35 	Der Versuch des Manipulators, nach einer Kollision von dem Hindernis zurückzuweichen, war erfolgreich.	{args: }
6822      	I   	Betriebszustand     	10025   	Kollision bestätigt                     	2015-05-11 18:26:05 	Die Kollisionserkennung wurde bestätigt.	{args: }
6823      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 18:26:09 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6824      	E   	System              	20205   	Automatik-Sicherheitshalt offen         	2015-05-11 18:26:09 	AS-Schaltkreis (Sicherheitshalt im Automatikbetrieb) wurde unterbrochen.	{args: }
6825      	I   	Betriebszustand     	10015   	Einrichtbetrieb gewählt                 	2015-05-11 18:26:18 	Das System befindet sich im Einrichtbetrieb.	{args: }
6826      	I   	Betriebszustand     	10016   	Automatikbetrieb angefordert            	2015-05-11 18:26:37 	Das System wurde angewiesen, in den Automatikbetrieb zu wechseln.	{args: }
6827      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 18:26:37 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6828      	I   	Betriebszustand     	10017   	Automatikbetrieb bestätigt              	2015-05-11 18:26:40 	Das System befindet sich im Automatikbetrieb.	{args: }
6829      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-11 18:26:41 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
6830      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 18:26:48 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6831      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 18:26:48 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6832      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 18:26:48 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6833      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 18:26:48 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6834      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 18:26:48 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6835      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 18:26:49 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6836      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 18:26:52 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6837      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-11 18:26:52 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
6838      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-11 18:26:52 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
6839      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-11 18:26:52 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
6840      	E   	Bewegung            	50056   	Achskollision                           	2015-05-11 18:42:23 	Aktuelles Drehmoment von Achse rob1_3 ist größer als angefordert bei niedriger oder null Geschwindigkeit. Mögliche Ursache: Kollision (festgefahrener Arm) oder Hardwarefehler.	{args: "rob1_3"}
6841      	I   	Betriebszustand     	10020   	Status Abarbeitungsfehler               	2015-05-11 18:42:23 	Die Programmabarbeitung in Task T_ROB1 wurde wegen eines plötzlichen Fehlers gestoppt.	{args: "1", "T_ROB1"}
6842      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 18:42:23 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6843      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-11 18:42:23 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
6844      	W   	Bewegung            	50240   	Optimaler Not-Aus geändert              	2015-05-11 18:42:23 	Optimaler Not-Aus wurde wegen Drehmomentbeschränkung in Modus 'Elektrische Bremse' geändert.	{args: }
6845      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 18:42:24 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6846      	E   	System              	20205   	Automatik-Sicherheitshalt offen         	2015-05-11 18:48:02 	AS-Schaltkreis (Sicherheitshalt im Automatikbetrieb) wurde unterbrochen.	{args: }
6847      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 18:48:03 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6848      	I   	Betriebszustand     	10015   	Einrichtbetrieb gewählt                 	2015-05-11 18:48:13 	Das System befindet sich im Einrichtbetrieb.	{args: }
6849      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 18:48:19 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6850      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-11 18:48:19 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
6851      	E   	Bewegung            	50056   	Achskollision                           	2015-05-11 18:48:24 	Aktuelles Drehmoment von Achse rob1_3 ist größer als angefordert bei niedriger oder null Geschwindigkeit. Mögliche Ursache: Kollision (festgefahrener Arm) oder Hardwarefehler.	{args: "rob1_3"}
6852      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 18:48:24 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6853      	W   	Bewegung            	50240   	Optimaler Not-Aus geändert              	2015-05-11 18:48:24 	Optimaler Not-Aus wurde wegen Drehmomentbeschränkung in Modus 'Elektrische Bremse' geändert.	{args: }
6854      	W   	Bewegung            	50240   	Optimaler Not-Aus geändert              	2015-05-11 18:48:24 	Optimaler Not-Aus wurde wegen Drehmomentbeschränkung in Modus 'Elektrische Bremse' geändert.	{args: }
6855      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 18:48:25 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6856      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 18:48:27 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6857      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 18:48:28 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6858      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 18:48:29 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6859      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 18:48:30 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6860      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-11 18:48:31 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
6861      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 18:48:36 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6862      	I   	Betriebszustand     	10016   	Automatikbetrieb angefordert            	2015-05-11 18:48:58 	Das System wurde angewiesen, in den Automatikbetrieb zu wechseln.	{args: }
6863      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 18:48:58 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6864      	I   	Betriebszustand     	10017   	Automatikbetrieb bestätigt              	2015-05-11 18:49:02 	Das System befindet sich im Automatikbetrieb.	{args: }
6865      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-11 18:49:04 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
6866      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 18:49:11 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6867      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 18:49:12 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6868      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 18:49:12 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6869      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 18:49:12 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6870      	I   	Betriebszustand     	10021   	Rücksetzen Abarbeitungsfehler           	2015-05-11 18:49:12 	Die Programmabarbeitung in Task T_ROB1 führte zu einem plötzlichen Fehler. 	{args: "1", "T_ROB1"}
6871      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 18:49:12 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6872      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 18:49:12 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6873      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 18:49:15 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6874      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-11 18:49:15 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
6875      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-11 18:49:15 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
6876      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-11 18:49:15 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
6877      	E   	Bewegung            	50056   	Achskollision                           	2015-05-11 19:49:23 	Aktuelles Drehmoment von Achse rob1_3 ist größer als angefordert bei niedriger oder null Geschwindigkeit. Mögliche Ursache: Kollision (festgefahrener Arm) oder Hardwarefehler.	{args: "rob1_3"}
6878      	I   	Betriebszustand     	10020   	Status Abarbeitungsfehler               	2015-05-11 19:49:23 	Die Programmabarbeitung in Task T_ROB1 wurde wegen eines plötzlichen Fehlers gestoppt.	{args: "1", "T_ROB1"}
6879      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 19:49:23 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6880      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-11 19:49:24 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
6881      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 19:49:25 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6882      	E   	System              	20205   	Automatik-Sicherheitshalt offen         	2015-05-11 19:50:11 	AS-Schaltkreis (Sicherheitshalt im Automatikbetrieb) wurde unterbrochen.	{args: }
6883      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 19:50:11 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6884      	I   	Betriebszustand     	10015   	Einrichtbetrieb gewählt                 	2015-05-11 19:50:19 	Das System befindet sich im Einrichtbetrieb.	{args: }
6885      	I   	Betriebszustand     	10016   	Automatikbetrieb angefordert            	2015-05-11 19:50:43 	Das System wurde angewiesen, in den Automatikbetrieb zu wechseln.	{args: }
6886      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 19:50:43 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6887      	I   	Betriebszustand     	10017   	Automatikbetrieb bestätigt              	2015-05-11 19:50:45 	Das System befindet sich im Automatikbetrieb.	{args: }
6888      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-11 19:50:47 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
6889      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 19:50:51 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6890      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 19:50:51 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6891      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 19:50:51 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6892      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 19:50:51 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6893      	I   	Betriebszustand     	10021   	Rücksetzen Abarbeitungsfehler           	2015-05-11 19:50:52 	Die Programmabarbeitung in Task T_ROB1 führte zu einem plötzlichen Fehler. 	{args: "1", "T_ROB1"}
6894      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 19:50:52 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6895      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 19:50:52 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6896      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 19:50:55 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6897      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-11 19:50:55 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
6898      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-11 19:50:55 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
6899      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-11 19:50:55 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
6900      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-11 20:52:18 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
6901      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-11 20:52:20 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
6902      	E   	System              	20205   	Automatik-Sicherheitshalt offen         	2015-05-11 20:52:20 	AS-Schaltkreis (Sicherheitshalt im Automatikbetrieb) wurde unterbrochen.	{args: }
6903      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-11 20:52:45 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
6904      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-11 20:52:53 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
6905      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 20:54:21 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6906      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 20:54:21 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6907      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 20:54:21 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6908      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 20:54:21 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6909      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-11 20:54:21 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
6910      	I   	Betriebszustand     	10129   	Programm gestoppt                       	2015-05-11 20:54:22 	Die Task T_ROB1 wurde angehalten. Ursache: Ereignisroutine für RESET oder POWER_ON ist fertig.	{args: "1", "T_ROB1"}
6911      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-11 20:54:25 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
6912      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-11 20:54:25 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
6913      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-11 20:54:25 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
6914      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-11 20:54:25 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
6915      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-11 20:56:19 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
6916      	I   	Betriebszustand     	10015   	Einrichtbetrieb gewählt                 	2015-05-11 20:56:23 	Das System befindet sich im Einrichtbetrieb.	{args: }
